username,content,reply_time
幽暗的灯笼,如图,2016-05-20 01:24
q734660421,无言以对,2016-05-20 01:27
ultramanzero3,整个意大利才对,2016-05-20 09:21
drl1116,罗马、威尼斯难道不是？,2016-05-20 20:08
暮夜酱,除了主角其它都不会游泳,2016-05-21 11:47
Caps_Lockxzx,阿尼玛斯模拟而已= =,2016-05-21 12:40
无双飞将潘凤,无言以对。。,2016-05-21 16:47
帝国元帅马塞纳,嗯，而且不光弗洛伦撒，威尼斯也是,2016-05-24 12:23
帝国元帅马塞纳,身为船夫不会游泳,2016-05-24 12:24
baby丶旧城失梦,想起了二太爷,2016-05-25 01:10
呵呵1287,,2016-05-25 16:56
枫之唏嘘,肯威有个远房表弟叫寇马克,2016-05-25 18:11
某晨ll,23333,2016-05-29 21:11
某晨ll,2333333,2016-06-04 21:52
我是皢暘,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh想起玩2的时候全都用游泳来躲追杀,2016-06-05 09:55
米小玉玉小米,我爬上船夫的船，无论离他多远，船夫都会被我挤下船，然后就不见了,2016-06-07 00:12
小小小大J,盗贼，士兵，船夫，平民，都不会游泳,2016-06-07 09:50
半斤芝麻豆,刺客1的二太爷遇水即溶。育碧看不下去，e叔就会游泳了,2016-06-12 09:22
单挑大龙77,整个威尼斯也是只有这个人会游泳,2016-06-14 02:50
狂怒玉石,刚开始玩黑旗在哈瓦那的那个城堡不知道掷弹兵怎么杀，想起了AC2的老办法，结果TMD都进化了，淹不死,2016-06-15 01:41
小赛于1,每次把他们推下水都没浮上来？尸体去哪了？？沉底儿了？,2016-07-08 18:03
我的天啊CAO,阿泰尔穷酸，酸溶于水，而EZIO有钱，富得流油，油比水轻，且不溶于水。所以阿泰尔遇水即溶，而EZIO会游泳。,2016-07-09 09:03
lin221818,上次我做任务时吧npc推下水了 然后任务失败,2016-07-17 09:46
